ds,y,no_promoted_skus,unique_stores,no_activated_tiers,customer_activation_index,economic_regressor,event
2013-01-01,2511.618999,0,1,17,45.294117647058826,93.14,New Year’s Day
2013-01-02,496092.417944,0,46,21,96.49585921325051,93.14,
2013-01-03,361461.231124,0,46,21,81.26708074534162,92.97,
2013-01-04,354459.6770927,0,46,21,81.2567287784679,93.12,
2013-01-05,477350.121229,0,46,21,96.86645962732919,93.12,Compensation for Christmas Holiday
2013-01-06,519695.401088,0,46,20,98.33043478260869,93.12,
2013-01-07,336122.801066,0,46,21,78.25776397515529,93.2,
2013-01-08,318347.777981,0,46,21,74.87060041407868,93.21,
2013-01-09,302530.809018,0,46,21,74.50414078674949,93.08,
2013-01-10,258982.003049,0,46,21,68.71946169772256,93.81,
2013-01-11,289737.6850845,0,46,21,72.8136645962733,93.6,
2013-01-12,403258.2120105,0,46,21,88.52070393374741,93.6,Compensation for New Year's Holiday
2013-01-13,464638.547998,0,46,20,93.81086956521739,93.6,
2013-01-14,293348.362078,0,46,21,72.54451345755693,94.27,
2013-01-15,299129.549954,0,46,21,73.6376811594203,93.26,
2013-01-16,318347.913946,0,46,21,75.02173913043478,94.28,
2013-01-17,267498.5159755,0,46,21,71.29710144927536,95.49,
2013-01-18,296130.850028,0,46,21,73.88302277432712,95.61,
2013-01-19,432459.852021,0,46,21,91.67494824016563,95.61,
2013-01-20,461092.386047,0,46,20,92.69673913043478,95.61,
2013-01-21,311211.26595000003,0,46,21,75.82815734989649,95.85,
2013-01-22,296214.728983,0,46,20,74.98695652173913,96.09,
2013-01-23,283258.4530325,0,46,21,72.27639751552795,95.06,
2013-01-24,247245.690995,0,46,21,65.9472049689441,95.35,
2013-01-25,290022.77193,0,46,21,73.7815734989648,95.15,
2013-01-26,413799.7679753,0,46,21,91.12008281573499,95.15,
2013-01-27,430411.991233,0,46,20,90.54782608695652,95.15,
2013-01-28,285460.169953,0,46,21,72.86645962732919,95.95,
2013-01-29,264488.81807649997,0,46,21,70.84368530020704,97.62,
2013-01-30,281061.127052,0,46,21,73.38302277432712,97.98,
2013-01-31,271254.217996,0,46,21,72.74120082815735,97.65,
2013-02-01,369402.055266,0,46,21,81.05797101449275,97.46,
2013-02-02,518887.462705,0,46,20,105.81195652173913,97.46,
2013-02-03,486336.82018,0,46,20,94.59347826086956,97.46,
2013-02-04,344308.715017,0,46,21,77.98136645962732,96.21,
2013-02-05,321245.83913,0,46,20,82.83260869565217,96.68,
2013-02-06,321538.177149,0,46,21,77.94099378881988,96.44,
2013-02-07,290807.530973,0,46,21,75.35093167701864,95.84,
2013-02-08,347441.789912,0,46,21,82.5320910973085,95.71,
2013-02-09,416176.2790747,0,46,21,93.52173913043478,95.71,
2013-02-10,300951.328993,0,46,21,72.42546583850931,95.71,
2013-02-11,278627.588926,0,46,21,69.5879917184265,97.01,Carnival
2013-02-12,308800.7909121,0,46,21,74.33540372670808,97.48,Carnival
2013-02-13,319597.929962,0,46,21,82.91718426501035,97.03,
2013-02-14,308164.016957,0,46,21,91.80227743271222,97.3,
2013-02-15,320168.883912,0,46,21,78.45652173913044,95.95,
2013-02-16,485660.494008,0,46,20,100.88695652173914,95.95,
2013-02-17,399588.910014,0,46,20,84.18369565217391,95.95,
2013-02-18,350745.573191,0,46,21,79.12732919254658,96.32,
2013-02-19,293637.801951,0,46,21,73.13146997929607,96.69,
2013-02-20,313803.162034,0,46,21,76.40993788819875,94.92,
2013-02-21,267711.1090155,0,46,21,70.648033126294,92.79,
2013-02-22,285679.869131,0,46,21,73.40993788819875,93.12,
2013-02-23,412897.349113,0,46,21,91.50103519668737,93.12,
2013-02-24,452726.126103,0,46,20,91.44021739130434,93.12,
2013-02-25,307110.875933,0,46,21,74.70703933747411,92.74,
2013-02-26,270425.0070675,0,46,21,71.12422360248448,92.63,
2013-02-27,288401.998919,0,46,21,72.63975155279503,92.84,
2013-02-28,278116.291888,0,46,21,72.27536231884058,92.03,
2013-03-01,378898.165064,0,46,21,82.32298136645963,90.71,
2013-03-02,547857.205258,0,46,21,102.08695652173913,90.71,
2013-03-03,559820.580027,0,46,20,100.77826086956522,90.71,
2013-03-04,383647.679097,0,46,21,81.86128364389234,90.13,
2013-03-05,332189.993189,0,46,21,77.7784679089027,90.88,
2013-03-06,335726.580968,0,46,21,79.21221532091097,90.47,
2013-03-07,293099.52701,0,46,21,76.51138716356108,91.53,
2013-03-08,316600.679967,0,46,21,80.98447204968944,92.01,
2013-03-09,453259.496866,0,46,21,95.71635610766046,92.01,
2013-03-10,461859.756153,0,46,20,93.82826086956521,92.01,
2013-03-11,318379.133021,0,46,21,77.8064182194617,92.07,
2013-03-12,271823.37801,0,46,21,71.78674948240166,92.44,
2013-03-13,287869.663972,0,46,21,74.54451345755693,92.47,
2013-03-14,247541.420096,0,46,21,69.76501035196688,93.03,
2013-03-15,315878.090213,0,46,21,78.19151138716356,93.49,
2013-03-16,482233.433961,0,46,22,90.81027667984189,93.49,
2013-03-17,513439.584913,0,46,21,92.49068322981367,93.49,
2013-03-18,330283.80303,0,46,22,73.53557312252964,93.71,
2013-03-19,294020.245897,0,46,22,70.98913043478261,92.44,
2013-03-20,321207.006946,0,46,22,73.26581027667984,93.21,
2013-03-21,269130.127953,0,46,22,68.33695652173913,92.46,
2013-03-22,304100.453969,0,46,22,71.13636363636364,93.41,
2013-03-23,453192.003086,0,46,22,90.83300395256917,93.41,
2013-03-24,449794.636951,0,46,21,86.37577639751552,93.41,
2013-03-25,317559.6099585,0,46,22,72.12648221343873,94.55,
2013-03-26,275818.2359,0,46,22,67.65711462450592,95.99,
2013-03-27,313691.148998,0,46,22,73.1709486166008,96.53,
2013-03-28,339293.269022,0,46,22,81.1304347826087,97.24,
2013-03-29,345513.132,0,46,22,76.8586956521739,97.16999999999999,
2013-03-30,452661.356036,0,46,22,89.53656126482214,97.16999999999999,
2013-03-31,462107.639956,0,46,21,85.46894409937889,97.16999999999999,
2013-04-01,428816.447912,0,46,22,80.7094861660079,97.1,
2013-04-02,377732.827961,0,46,22,76.25,97.23,
2013-04-03,373731.0758793,0,46,22,77.60276679841897,95.02,
2013-04-04,308738.385963,0,46,22,71.36067193675889,93.26,
2013-04-05,336394.782031,0,46,22,74.03952569169961,92.76,
2013-04-06,509424.214023,0,46,22,93.71936758893281,92.76,
2013-04-07,519048.376884,0,46,21,92.32194616977226,92.76,
2013-04-08,346649.815943,0,46,22,74.2697628458498,93.36,
2013-04-09,306335.8019617,0,46,22,70.56916996047431,94.18,
2013-04-10,312846.374941,0,46,22,73.11166007905139,94.59,
2013-04-11,303223.41301,0,46,22,71.05434782608695,93.44,
2013-04-12,314394.967035,0,46,22,74.5088932806324,91.23,
2013-04-13,453442.497048,0,46,22,91.07312252964427,91.23,
2013-04-14,478417.148813,0,46,21,89.85817805383023,91.23,
2013-04-15,338712.458055,0,46,22,75.34683794466403,88.75,
2013-04-16,333431.880049,0,46,22,73.30731225296442,88.73,
2013-04-17,334990.518942,0,46,22,73.64525691699605,86.65,
2013-04-18,281924.509951,0,46,22,67.53260869565217,87.83,
2013-04-19,311588.70494,0,46,22,72.25197628458498,88.04,
2013-04-20,459884.838043,0,46,22,90.92292490118577,88.04,
2013-04-21,485721.032087,0,46,21,90.47722567287785,88.04,
2013-04-22,328886.320986,0,46,22,74.26581027667984,88.81,
2013-04-23,302097.8329435,0,46,22,70.80731225296442,89.21,
2013-04-24,310555.184925,0,46,22,72.13735177865613,91.07,
2013-04-25,268790.618996,0,46,22,68.0998023715415,93.27,
2013-04-26,304413.556952,0,46,22,71.949604743083,92.63,
2013-04-27,446665.337895,0,46,22,88.7598814229249,92.63,
2013-04-28,477623.4729303,0,46,21,89.8271221532091,92.63,
2013-04-29,328795.874018,0,46,22,71.15513833992095,94.09,Good Friday
2013-04-30,310186.466894,0,46,22,72.6413043478261,93.22,
2013-05-01,507974.636889,0,46,22,89.47430830039525,90.74,Labor Day
2013-05-02,348709.460063,0,46,22,72.76581027667984,93.7,
2013-05-03,374291.2510323,0,46,22,75.77569169960475,95.25,
2013-05-04,520339.51596499997,0,46,22,95.54249011857708,95.25,
2013-05-05,580268.550981,0,46,21,98.5631469979296,95.25,
2013-05-06,369869.383046,0,46,22,75.47727272727273,95.8,
2013-05-07,317292.964148,0,46,22,71.70256916996047,95.28,
2013-05-08,332477.410968,0,46,22,73.91501976284584,96.24,
2013-05-09,305868.0570225,0,47,22,72.55802707930367,96.09,
2013-05-10,335937.441949,0,47,22,77.642166344294,95.81,
2013-05-11,512090.58108,0,47,22,107.81818181818181,95.81,Day Before Mother’s Day
2013-05-12,387860.5050145,0,47,21,90.9726443768997,95.81,Mother’s Day
2013-05-13,350598.06187,0,47,22,73.13829787234043,94.76,
2013-05-14,308469.313119,0,47,22,69.23500967117988,93.96,
2013-05-15,329113.560081,0,47,22,71.95454545454545,93.95,
2013-05-16,307556.946937,0,47,22,68.94294003868472,94.85,
2013-05-17,330004.241998,0,47,22,72.24854932301741,95.72,
2013-05-18,480969.558942,0,47,22,88.94874274661508,95.72,
2013-05-19,518153.554009,0,47,21,90.20364741641338,95.72,
2013-05-20,341787.214991,0,47,22,72.15957446808511,96.29,
2013-05-21,307178.399952,0,47,22,68.27949709864603,95.55,
2013-05-22,301785.4831075,0,47,22,69.40328820116054,93.98,
2013-05-23,289261.058026,0,47,22,68.51353965183752,94.12,
2013-05-24,398389.241982,0,47,22,76.34912959381045,93.84,Battle of Pichincha
2013-05-25,417930.141993,0,47,22,82.4274661508704,93.84,
2013-05-26,450631.400068,0,47,21,82.94731509625127,93.84,
2013-05-27,321630.8309235,0,47,22,69.77176015473887,94.245,
2013-05-28,307329.1680565,0,47,22,69.44003868471954,94.65,
2013-05-29,309333.380899,0,47,22,71.53771760154739,93.13,
2013-05-30,304344.849939,0,47,22,74.5183752417795,93.57,
2013-05-31,330257.841975,0,47,22,74.3916827852998,91.93,
2013-06-01,566901.814988,0,47,22,98.39458413926499,91.93,
2013-06-02,637698.494958,0,47,21,99.30901722391084,91.93,
2013-06-03,426332.097995,0,47,22,77.99613152804642,93.41,
2013-06-04,369705.160085,0,47,22,73.70696324951643,93.36,
2013-06-05,361791.080915,0,47,22,75.05319148936171,93.66,
2013-06-06,317496.765891,0,47,22,69.90522243713733,94.71,
2013-06-07,357673.087977,0,47,22,76.41586073500967,96.11,
2013-06-08,466292.699096,0,47,22,86.83075435203095,96.11,
2013-06-09,526804.730256,0,47,21,90.93313069908815,96.11,
